type,title,cast,country,rating,listed_in,combination
Movie,what the shark?,robert davi,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary robert davi unknown"
Movie,most wanted sharks,unknown,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary unknown unknown"
Movie,secrets of the bull shark,keston john,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary keston john unknown"
Movie,shark attack investigation: the paige winter story,unknown,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary unknown unknown"
Movie,sharkcano,dan nachtrab,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary dan nachtrab unknown"
Movie,we bought a zoo,matt damon  scarlett johansson  thomas haden church,united states,pg,"animals & nature, drama, family","Movie pg animals & nature, drama, family matt damon  scarlett johansson  thomas haden church united states"
Movie,world's biggest bullshark,jason hildebrandt,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary jason hildebrandt unknown"
Movie,world's most dangerous shark?,brain cade,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary brain cade unknown"
Movie,flicka,alison lohman  tim mcgraw  maria bello,"united states, united kingdom",pg,"animals & nature, coming of age, drama","Movie pg animals & nature, coming of age, drama alison lohman  tim mcgraw  maria bello united states, united kingdom"
Movie,"miraculous world: shanghai, the legend of ladydragon","cristina 'vee"" valenzuela  bryce papenbrook  keith silverstein",unknown,tv-y7-fv,"animation, fantasy","Movie tv-y7-fv animation, fantasy cristina 'vee"" valenzuela  bryce papenbrook  keith silverstein unknown"
Movie,orca vs. great white,kina scollay  ingrid visser  ray robertson,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary kina scollay  ingrid visser  ray robertson unknown"
Movie,rogue shark?,mocean melvin,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary mocean melvin unknown"
Movie,shark beach with chris hemsworth,chris hemsworth,united states,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary chris hemsworth united states"
Movie,shark gangs,unknown,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary unknown unknown"
Movie,the croc that ate jaws,dan nachtrab,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary dan nachtrab unknown"
Movie,"the good, the bart, and the loki",dan castellaneta  nancy cartwright  yeardley smith,unknown,tv-pg,"animation, comedy, parody","Movie tv-pg animation, comedy, parody dan castellaneta  nancy cartwright  yeardley smith unknown"
Movie,the sandlot,art la fleur  tom guiry  mike vitar,united states,pg,"comedy, coming of age, family","Movie pg comedy, coming of age, family art la fleur  tom guiry  mike vitar united states"
Movie,the sandlot 2,max lloyd-jones  james willson  samantha burton,united states,pg,"comedy, sports","Movie pg comedy, sports max lloyd-jones  james willson  samantha burton united states"
Movie,adventures in babysitting,elisabeth shue  maia brewton  keith coogan,united states,tv-pg,"action-adventure, comedy, coming of age","Movie tv-pg action-adventure, comedy, coming of age elisabeth shue  maia brewton  keith coogan united states"
Movie,wolfgang,wolfgang puck,unknown,tv-pg,"biographical, documentary","Movie tv-pg biographical, documentary wolfgang puck unknown"
Movie,luca,jacob tremblay  jack dylan grazer  emma berman,united states,pg,"animation, buddy, coming of age","Movie pg animation, buddy, coming of age jacob tremblay  jack dylan grazer  emma berman united states"
Movie,strange magic,alan cumming  evan rachel wood  elijah kelley,"united states, canada, united kingdom, singapore, australia, thailand",pg,"action-adventure, animation, family","Movie pg action-adventure, animation, family alan cumming  evan rachel wood  elijah kelley united states, canada, united kingdom, singapore, australia, thailand"
Movie,the happiest millionaire,fred macmurray  tommy steele  greer garson,united states,g,"biographical, coming of age, family","Movie g biographical, coming of age, family fred macmurray  tommy steele  greer garson united states"
Movie,the pacifier,vin diesel  lauren graham  faith ford,"canada, united states",pg,"action-adventure, comedy, spy/espionage","Movie pg action-adventure, comedy, spy/espionage vin diesel  lauren graham  faith ford canada, united states"
Movie,ice age: dawn of the dinosaurs,ray romano  john leguizamo  denis leary,"united states, united kingdom, australia",pg,"animation, comedy, family","Movie pg animation, comedy, family ray romano  john leguizamo  denis leary united states, united kingdom, australia"
Movie,raya and the last dragon,kelly marie tran  awkwafina   izaac wang,united states,pg,"action-adventure, animation, family","Movie pg action-adventure, animation, family kelly marie tran  awkwafina   izaac wang united states"
Movie,red tails,terrence howard  cuba gooding jr.  nate parker,united states,pg-13,"action-adventure, drama, historical","Movie pg-13 action-adventure, drama, historical terrence howard  cuba gooding jr.  nate parker united states"
Movie,us again,unknown,unknown,g,"animation, dance, family","Movie g animation, dance, family unknown unknown"
Movie,x-men origins: wolverine,hugh jackman  liev schreiber  danny huston,"united states, united kingdom",pg-13,"action-adventure, family, science fiction","Movie pg-13 action-adventure, family, science fiction hugh jackman  liev schreiber  danny huston united states, united kingdom"
Movie,american eid,shanessa khawaja  jenna qureshi  cash herrera,unknown,g,drama,Movie g drama shanessa khawaja  jenna qureshi  cash herrera unknown
Movie,dinner is served,qi sun  briana liu  ben wang,unknown,tv-pg,"coming of age, drama","Movie tv-pg coming of age, drama qi sun  briana liu  ben wang unknown"
Movie,growing fangs,keyla monterroso mejia  cristela alonzo  grace song,unknown,tv-pg,"coming of age, fantasy","Movie tv-pg coming of age, fantasy keyla monterroso mejia  cristela alonzo  grace song unknown"
Movie,let's be tigers,otmara marrero  dash mccloud  greg worswick,unknown,pg,drama,Movie pg drama otmara marrero  dash mccloud  greg worswick unknown
Movie,the last of the chupacabras,melba martinez ph.d  cici lau  seven true-divine purnell,unknown,tv-pg,fantasy,Movie tv-pg fantasy melba martinez ph.d  cici lau  seven true-divine purnell unknown
Movie,the little prince(ss),kalo moss  ching yin ryan hu  evan lai,unknown,pg,drama,Movie pg drama kalo moss  ching yin ryan hu  evan lai unknown
Movie,tinker bell and the legend of the neverbeast,ginnifer goodwin  mae whitman  rosario dawson,united states,g,"action-adventure, animation, fantasy","Movie g action-adventure, animation, fantasy ginnifer goodwin  mae whitman  rosario dawson united states"
Movie,x-men: the last stand,hugh jackman  halle berry  ian mckellen,"united states, united kingdom, canada",pg-13,"action-adventure, family, science fiction","Movie pg-13 action-adventure, family, science fiction hugh jackman  halle berry  ian mckellen united states, united kingdom, canada"
Movie,fantastic four: rise of the silver surfer,ioan gruffudd  jessica alba  chris evans,"united states, germany, united kingdom",pg,"action-adventure, family, science fiction","Movie pg action-adventure, family, science fiction ioan gruffudd  jessica alba  chris evans united states, germany, united kingdom"
Movie,wild hearts can't be broken,gabrielle anwar  michael schoeffling  kathleen york,united states,g,"biographical, drama","Movie g biographical, drama gabrielle anwar  michael schoeffling  kathleen york united states"
Movie,"maggie simpson in ""the force awakens from its nap""",unknown,unknown,tv-pg,"animation, comedy, parody","Movie tv-pg animation, comedy, parody unknown unknown"
Movie,star wars biomes,unknown,unknown,tv-g,science fiction,Movie tv-g science fiction unknown unknown
Movie,22 vs. earth,tina fey  richard ayoade  alice braga,unknown,tv-pg,"animation, comedy, family","Movie tv-pg animation, comedy, family tina fey  richard ayoade  alice braga unknown"
Movie,disney my music story sukimaswitch,takuya ohashi  shintaro tokita,unknown,tv-pg,"biographical, documentary, music","Movie tv-pg biographical, documentary, music takuya ohashi  shintaro tokita unknown"
Movie,oklahoma!,gordon macrae  gloria grahame  gene nelson,united states,tv-pg,"musical, romance, western","Movie tv-pg musical, romance, western gordon macrae  gloria grahame  gene nelson united states"
Movie,baby's day out,joe mantegna  lara flynn boyle  joe pantoliano,united states,pg,"action-adventure, comedy, crime","Movie pg action-adventure, comedy, crime joe mantegna  lara flynn boyle  joe pantoliano united states"
Movie,being the queen,unknown,united states,tv-14,"biographical, documentary","Movie tv-14 biographical, documentary unknown united states"
Movie,rio,anne hathaway  jesse eisenberg  will.i.am ,"united states, brazil",g,"action-adventure, animation, comedy","Movie g action-adventure, animation, comedy anne hathaway  jesse eisenberg  will.i.am  united states, brazil"
Movie,the kid who would be king,louis ashbourne serkis  tom taylor  rebecca ferguson,"united kingdom, united states",pg,"action-adventure, coming of age, family","Movie pg action-adventure, coming of age, family louis ashbourne serkis  tom taylor  rebecca ferguson united kingdom, united states"
Movie,treasure buddies,richard riehle  mason cook  adam alexi-malle,"united states, canada",g,"action-adventure, comedy, kids","Movie g action-adventure, comedy, kids richard riehle  mason cook  adam alexi-malle united states, canada"
Movie,white fang 2: myth of the white wolf,scott bairstow  charmaine craig  alfred molina,united states,pg,"action-adventure, animals & nature, drama","Movie pg action-adventure, animals & nature, drama scott bairstow  charmaine craig  alfred molina united states"
Movie,cesar millan: the real story,cesar millan,united states,tv-pg,"biographical, documentary","Movie tv-pg biographical, documentary cesar millan united states"
