type,title,cast,rating,listed_in,combination
TV Show,booba,artem kretov  elena solovieva  vyacheslav kataev,ALL,"animation, kids","TV Show ALL animation, kids artem kretov  elena solovieva  vyacheslav kataev"
TV Show,a river runs through it,ruichang wang  yixuan hu,18+,romance,TV Show 18+ romance ruichang wang  yixuan hu
TV Show,sing along with pinkfong & hogi,unknown,ALL,"animation, kids","TV Show ALL animation, kids unknown"
TV Show,sent in error,liza faley  aleksandr vedmensky  olga sumskaya,16+,drama,TV Show 16+ drama liza faley  aleksandr vedmensky  olga sumskaya
TV Show,atn's tribute to 100 years of indian cinema,unknown,ALL,"documentary, talk show and variety","TV Show ALL documentary, talk show and variety unknown"
TV Show,alien extinction,geovanni molina,16+,action,TV Show 16+ action geovanni molina
TV Show,ufo secret reports,geovanni molina,7+,science fiction,TV Show 7+ science fiction geovanni molina
TV Show,ray winstone's sicily,ray winstone,TV-14,special interest,TV Show TV-14 special interest ray winstone
TV Show,lularich,unknown,TV-14,documentary,TV Show TV-14 documentary unknown
TV Show,lol - enga siri paappom,padmashri vivek   shiva   abishek,16+,unscripted,TV Show 16+ unscripted padmashri vivek   shiva   abishek
TV Show,drag heals,tracey erin smith  kyle feistmantl  miles carney,TV-14,"arts, entertainment, and culture, documentary, lgbtq","TV Show TV-14 arts, entertainment, and culture, documentary, lgbtq tracey erin smith  kyle feistmantl  miles carney"
TV Show,shadow of justice,zhang zhilin  xue kaiqi  wang yangming,16+,"action, drama","TV Show 16+ action, drama zhang zhilin  xue kaiqi  wang yangming"
TV Show,ryan's world,ryan  mommy  daddy,ALL,tv shows,TV Show ALL tv shows ryan  mommy  daddy
TV Show,love mr right,han dong  jiang kaitong,13+,"comedy, drama","TV Show 13+ comedy, drama han dong  jiang kaitong"
TV Show,inference notes,zhang zifeng  hou minghao,16+,"adventure, drama, suspense","TV Show 16+ adventure, drama, suspense zhang zifeng  hou minghao"
TV Show,hot girl,dilireba  make,13+,drama,TV Show 13+ drama dilireba  make
