type,title,cast,country,rating,listed_in,combination
TV Show,nature boom time,charlie engelman  kirby engelman  patrick rahill,united states,tv-g,"animals & nature, docuseries, kids","TV Show tv-g animals & nature, docuseries, kids charlie engelman  kirby engelman  patrick rahill united states"
TV Show,sam's zookeeper challenge,sam peltz,united states,tv-g,"animals & nature, docuseries, family","TV Show tv-g animals & nature, docuseries, family sam peltz united states"
TV Show,scuba sam's world,sam peltz,united states,tv-g,"animals & nature, docuseries, kids","TV Show tv-g animals & nature, docuseries, kids sam peltz united states"
TV Show,spaced out,ben detour,unknown,tv-g,"docuseries, kids","TV Show tv-g docuseries, kids ben detour unknown"
TV Show,weird but true!,charlie engelman  kirby engelman,united states,tv-g,"animals & nature, kids, variety","TV Show tv-g animals & nature, kids, variety charlie engelman  kirby engelman united states"
TV Show,wild cats of india,james murray,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family james murray united states"
TV Show,ufo europe: the untold stories,robert ashby,unknown,tv-pg,"docuseries, reality","TV Show tv-pg docuseries, reality robert ashby unknown"
TV Show,animal showdown,brian peck,unknown,tv-g,"animals & nature, docuseries, family","TV Show tv-g animals & nature, docuseries, family brian peck unknown"
TV Show,best job ever,unknown,unknown,tv-g,"animals & nature, docuseries, family","TV Show tv-g animals & nature, docuseries, family unknown unknown"
TV Show,destination world,rick robles,unknown,tv-g,"animals & nature, docuseries, kids","TV Show tv-g animals & nature, docuseries, kids rick robles unknown"
TV Show,fearless adventures with jack randall,jack randall,unknown,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family jack randall unknown"
TV Show,king fishers,stephen mangan,united kingdom,tv-pg,"action-adventure, animals & nature, docuseries","TV Show tv-pg action-adventure, animals & nature, docuseries stephen mangan united kingdom"
TV Show,marvel funko shorts,unknown,unknown,tv-y7,"action-adventure, animation, anthology","TV Show tv-y7 action-adventure, animation, anthology unknown unknown"
TV Show,muppets now,dave goelz  matt vogel  david rudman,united states,tv-pg,"comedy, family, lifestyle","TV Show tv-pg comedy, family, lifestyle dave goelz  matt vogel  david rudman united states"
TV Show,what sam sees,sam peltz,unknown,tv-g,"animals & nature, docuseries, family","TV Show tv-g animals & nature, docuseries, family sam peltz unknown"
TV Show,pj masks (shorts),unknown,unknown,tv-y,"action-adventure, animation, kids","TV Show tv-y action-adventure, animation, kids unknown unknown"
TV Show,rogue trip,bob woodruff  mack woodruff,unknown,tv-pg,"buddy, docuseries","TV Show tv-pg buddy, docuseries bob woodruff  mack woodruff unknown"
TV Show,wild congo,corey johnson,unknown,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family corey johnson unknown"
TV Show,wild sri lanka,paul mcgann,united kingdom,tv-pg,"animals & nature, docuseries","TV Show tv-pg animals & nature, docuseries paul mcgann united kingdom"
TV Show,disney junior music lullabies,unknown,unknown,tv-y,"animation, kids, music","TV Show tv-y animation, kids, music unknown unknown"
TV Show,super robot monkey team hyperforce go!,greg cipes  kevin michael	richardson  tom kenny,"united states, japan",tv-y7,"action-adventure, animation, anime","TV Show tv-y7 action-adventure, animation, anime greg cipes  kevin michael	richardson  tom kenny united states, japan"
TV Show,wild chile,peter venn,united kingdom,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family peter venn united kingdom"
TV Show,cosmos: a spacetime odyssey,neil tyson  stoney emshwiller,united states,tv-pg,"action-adventure, docuseries, family","TV Show tv-pg action-adventure, docuseries, family neil tyson  stoney emshwiller united states"
TV Show,animal er,dr. brian beale,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family dr. brian beale united states"
TV Show,disney a.n.t. farm,china mcclain  sierra mccormick  jake short,united states,tv-g,"comedy, coming of age, music","TV Show tv-g comedy, coming of age, music china mcclain  sierra mccormick  jake short united states"
TV Show,into the unknown: making frozen 2,kristen bell  idina menzel  josh gad,united states,tv-pg,"docuseries, family","TV Show tv-pg docuseries, family kristen bell  idina menzel  josh gad united states"
TV Show,101 dalmatians (series),jeff bennett  christine cavanaugh  tara charendoff,unknown,tv-y7,"action-adventure, animation, kids","TV Show tv-y7 action-adventure, animation, kids jeff bennett  christine cavanaugh  tara charendoff unknown"
TV Show,disney junior muppet babies play date,unknown,unknown,tv-y,"comedy, kids","TV Show tv-y comedy, kids unknown unknown"
TV Show,mighty med,bradley perry  jake short  paris berelc,united states,tv-y7,"comedy, coming of age, medical","TV Show tv-y7 comedy, coming of age, medical bradley perry  jake short  paris berelc united states"
TV Show,alaska's grizzly gauntlet,les stroud,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family les stroud united states"
